Sample,Si,Ti,Al,Cr,Fe3,Mn,Mg,Ca,Na,K,Total
ANZ_A1 Pum 3,5.785505870726482,0.0,2.2605189883078176,0.0,0.027862834967563484,0.0,0.0,0.13491816181625862,0.7364009721692242,0.9865937514661908,9.931800579453538
ANZ_A1 Pum 3,5.6056191663328105,0.0,2.3955555379086224,0.0,0.0,0.0,0.005141425941941881,0.15807043532412793,0.9839035326777196,1.0805294657330329,10.228819563918254
ANZ_A1 Pum 3,5.409590257645932,0.0,2.4837005837874537,0.0,0.0,0.0,0.0,0.1257447456363242,1.5409383408377086,1.1181093859435542,10.678083313850973
ANZ_A1 Pum 3,5.374891188641986,0.0,2.726033212080413,0.0,0.045707943469660596,0.025615970577261477,0.005053113997538428,0.17228715815184276,0.6934550764210978,1.0858442169074471,10.128887880247245
ANZ1 Tuff Clast 1 Zeo,5.685701140322063,0.0,2.2845406918725124,0.0,0.07105990190206947,0.0,0.0,0.1520605644192048,0.8524257704824519,1.033846758067137,10.079634827065439
ANZ1 Tuff Clast 1 Zeo,5.757877551067851,0.0,2.2932648258154895,0.0,0.046479680856692566,0.0,0.0,0.12268067045357194,0.6439219083348434,1.059973026470068,9.924197662998518
ANZ1 Tuff Clast 1,5.817948946661943,0.0,2.3013413453203633,0.0,0.051231571909575294,0.0,0.0,0.12080644648598927,0.46311860521820436,0.9657539634722256,9.720200879068301
ANZ1 Tuff Clast 1,5.844011609918169,0.0,2.216208663857272,0.0,0.024530150482280428,0.0,0.0,0.14825421482710177,0.6708538298753417,0.9343748577791204,9.838233326739287
ANZ1 Tuff Clast 1,5.748254717341362,0.04981285403013922,2.343273999866464,0.0,0.04508489705558168,0.0,0.0,0.15178222086721405,0.5071503881539825,0.8319381938594486,9.67729727117419
ANZ1 Tuff Clast 1,5.727337535880281,0.029685090806730822,2.3102461240124432,0.0,0.03255786280699059,0.0,0.011002096100578899,0.1511768343194341,0.6891091156601435,0.9300305562934814,9.881145215880084
ANZ1 Tuff Clast 1,5.754410017455155,0.0,2.3782719582985576,0.0,0.04057774777840518,0.0,0.0,0.13372625750227657,0.5442808490539585,0.9140774478899871,9.76534427797834
ANZ1 Tuff Clast 1,5.753157535592257,0.024758079416411255,2.386538410963535,0.0,0.0238519691547527,0.0,0.006006280644787812,0.1657105914439769,0.33736100695728566,0.9763716484756526,9.67375552264866
PTR Bb Test,5.183718842761336,0.0,2.842822765535627,0.0,0.020287123193752973,0.0,0.010477701252330081,0.5790845344528229,0.4449756085470636,1.0516948828091477,10.133061458552081
PTR Bb TL1,5.553256692707742,0.0,2.39036742426939,0.0,0.03152682542663882,0.0,0.03563397921988829,0.5613589231683958,0.2388658620591507,1.0884388132452258,9.89944852009643
PTR Bb TL1,5.361829055603107,0.0,2.819121941292009,0.0,0.0,0.0,0.027588478411500687,0.4610643570529115,0.2541461574479151,0.8638661253348003,9.787616115142244
PTR Bb TL2,5.116587540846825,0.0,2.8800644597796397,0.0,0.02600517362025161,0.0,0.0055453276565264565,0.4833250749156166,0.5866472479202087,1.2510528833485375,10.349227708087605
PTR Bb TL2,5.217045450488914,0.0,2.8729945116897655,0.0,0.0,0.016264751254293712,0.003932609962722003,0.4586194159365683,0.42008626016910766,1.1351148484987674,10.124057848000138
PTR Bb TL2,5.446846624289236,0.0,2.6170488656627917,0.0,0.0,0.0,0.028522963453204958,0.26510345170051164,0.6794052418120874,1.094808833735162,10.131735980652994
PTR Bb TL2,5.2111415933315,0.0,2.7309297264763477,0.0,0.0,0.0,0.02104632637688965,0.4368874347628239,0.7071590270808014,1.339617897884729,10.446782005913091
Bai Pumlime 3,4.801372165716719,0.0,3.304842573680621,0.0,0.020136837605508436,0.0,0.004346624879005987,0.469610465067176,1.3367099497604114,0.5349489736219667,10.471967590331408
Bai Pumlime 5,5.2421489513552,0.0,3.0113815556356602,0.0,0.027326397621551507,0.0,0.0,0.23664731689015753,0.7054290045495969,0.7365566964776554,9.959489922529823
Bai Area Y 8,4.438977218966695,0.0,3.6591068502037087,0.0,0.0,0.0,0.0,1.2821682264773877,0.3006532342779887,0.40178088628933145,10.082686416215115
