Sample,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O
ANZ_A1 Pum 3,0.441308752,0,0.222843229,0,0,0,0,0.101760249,0.207212034,0.267568868
ANZ_A1 Pum 3,0.446586866,0,0.235521916,0,0.234537136,0.159315848,0.024231504,0.116761587,0.143881459,0.267522295
ANZ1 Tuff Clast 1 Zeo,0.484758931,0,0.233274105,0,0.266434314,0,0,0.116546186,0.169884525,0.271664162
ANZ1 Tuff Clast 1 Zeo,0.489044983,0,0.233630831,0,0.247417136,0,0,0.105790364,0.148578874,0.277552518
ANZ1 Tuff Clast 1,0.47162555,0,0.225529797,0,0.229770827,0,0,0.100663775,0.122439978,0.255742258
ANZ1 Tuff Clast 1,0.478061329,0,0.224021859,0,0.235575937,0,0,0.111513243,0.147516703,0.254604856
ANZ1 Tuff Clast 1,0.470028418,0.330535651,0.227807138,0,0.230819476,0,0,0.113465412,0.128859221,0.238160878
ANZ1 Tuff Clast 1,0.476378562,0.349963005,0.230112501,0,0.240286048,0,0.025396705,0.112931499,0.150844842,0.255761639
ANZ1 Tuff Clast 1,0.466688066,0,0.227882641,0,0.224226435,0,0,0.105965365,0.131410257,0.246740805
ANZ1 Tuff Clast 1,0.478202857,0.314991548,0.23380776,0,0.222429517,0,0.024575733,0.117777208,0.108653134,0.262018092
PTR Bb Test,0.42684796,0,0.237303148,0,0.203159824,0,0.027997495,0.197405823,0.114584697,0.250274855
PTR Bb TL1,0.43263583,0,0.215471866,0,0.220322903,0,0.033444094,0.193786227,0.087719194,0.252262208
PTR Bb TL1,0.433805937,0,0.235653059,0,0,0,0.031580668,0.177874605,0.088483489,0.228848502
PTR Bb TL2,0.434019186,0,0.244896262,0,0.211098713,0,0.024885261,0.185797287,0.133050133,0.278488547
PTR Bb TL2,0.443241107,0,0.247209046,0,0,0.174673261,0.02339946,0.183334105,0.116647018,0.270431177
PTR Bb TL2,0.456096893,0,0.238667237,0,0,0,0.032334605,0.144010216,0.146076145,0.268984268
PTR Bb TL2,0.43713223,0,0.238234241,0,0,0,0.027987859,0.176103845,0.146285142,0.28869815
Bai Pumlime 3,0.400599337,0,0.261065842,0,0.168521319,0,0.019973731,0.18145463,0.188825119,0.180761311
Bai Pumlime 5,0.40224458,0,0.239548516,0,0.17258268,0,0,0.128346246,0.134972568,0.205820984
Bai Area Y 8,0.374103809,0,0.264252877,0,0,0,0,0.284767588,0.092234937,0.15178725
