Sample,sSi,sTi,sAl,sCr,sFe3,sMn,sMg,sCa,sNa,sK,sTotal
ANZ1 Tuff Clast 1,0.027798649005992607,0.022576122091841698,0.025958310084643842,0.0,0.015963183455817678,0.0,0.0035010179673180646,0.01199378983312812,0.020066443927744513,0.03173291463485389,0.028999186033224378
PTR Bb Test,0.026556689296451618,0.0,0.029720089435142698,0.0,0.017213182202894525,0.0,0.004706177425275143,0.023353135222725134,0.024916078119832406,0.035624060098483845,0.03386035955689284
PTR Bb TL1,0.025933452332895374,0.0,0.027568242480794515,0.0,0.018814649892144267,0.0,0.005668059632236809,0.023144494143324854,0.019288417409977752,0.03622304040149241,0.03236073886854294
PTR Bb TL1,0.024099175455585542,0.0,0.028664664057792204,0.0,0.0,0.0,0.005200501237528273,0.020700346622528287,0.01889836118933545,0.03195418955448032,0.029456719231420205
PTR Bb TL2,0.02600285687123714,0.0,0.02913719780228439,0.0,0.017027234887374593,0.0,0.0039851990995004236,0.021006389189003088,0.02751184249544788,0.037680139202731076,0.03558546946515945
PTR Bb TL2,0.02448050862452745,0.0,0.028357050431932106,0.0,0.0,0.015404573440013478,0.0036353893729237103,0.020118740345508472,0.023433940496464908,0.03550049052562573,0.03327366852789563
PTR Bb TL2,0.022818424208241497,0.0,0.026717044180295448,0.0,0.0,0.0,0.00488584465042464,0.015491419294738382,0.028472856019608576,0.03437026521459689,0.033790974588536395
PTR Bb TL2,0.02420199531286677,0.0,0.027863065244464424,0.0,0.0,0.0,0.004436538821404522,0.01974279425569605,0.029889424583558328,0.03858904303073771,0.03692651570726673
Bai Pumlime 3,0.02502466425980838,0.0,0.029526417645770617,0.0,0.01341007558600175,0.0,0.0031541210332800937,0.02021733877643477,0.038145849625903235,0.024271096911019984,0.0342805898460465
Bai Pumlime 5,0.02465853476724236,0.0,0.029096972625982393,0.0,0.0145391804066925,0.0,0.0,0.015285838005878152,0.029103356292651133,0.029203552484118194,0.03134813508559549
Bai Area Y 8,0.02586725629828418,0.0,0.031153098659824057,0.0,0.0,0.0,0.0,0.03253001821311223,0.019996194762736067,0.0216385242491421,0.026366071560341854
